Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-82718000017,2025-05-20,5529,BIG 10 MART,2100 JFK RD,DUBUQUE,52001.0,POINT (-90.71988 42.5084),DUBUQUE,1031100.0,AMERICAN VODKAS,300.0,MCCORMICK DISTILLING CO.,36901,MCCORMICK 80PRF VODKA MINI,6.0,50.0,4.7,7.05,6.0,42.3,0.3,0.07
INV-82724300127,2025-05-20,2544,HY-VEE FOOD STORE (1403) / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158.0,POINT (-92.91219 42.04011),MARSHALL,1082100.0,IMPORTED CORDIALS & LIQUEURS,35.0,BACARDI USA INC,64336,B&B DOM,12.0,750.0,20.0,30.0,2.0,60.0,1.5,0.39
INV-82718000011,2025-05-20,5529,BIG 10 MART,2100 JFK RD,DUBUQUE,52001.0,POINT (-90.71988 42.5084),DUBUQUE,1011400.0,TENNESSEE WHISKIES,85.0,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LABEL FLAT,24.0,375.0,8.25,12.38,2.0,24.76,0.75,0.19
INV-82723300024,2025-05-20,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT (-93.61378 41.60575),POLK,1071000.0,COCKTAILS/RTD,395.0,PROXIMO,58838,JOSE CUERVO AUTHENTIC LIME MARGARITA,6.0,1750.0,8.74,13.11,30.0,393.3,52.5,13.86
INV-82716700011,2025-05-20,10277,C&D CAR WASH LLC / BELLEVUE,800 STATE STREET,BELLEVUE,52031.0,POINT (-90.43248 42.25653),JACKSON,1081400.0,AMERICAN SCHNAPPS,434.0,LUXCO INC,80576,ARROW PEPPERMINT SCHNAPPS,12.0,750.0,3.75,5.63,3.0,16.89,2.25,0.59
INV-82717200078,2025-05-20,5660,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,2013 CENTRAL AVE,DUBUQUE,52001.0,POINT (-90.67027 42.51183),DUBUQUE,1022200.0,100% AGAVE TEQUILA,395.0,PROXIMO,87401,JOSE CUERVO ESPECIAL SILVER MINI,12.0,50.0,12.33,18.5,1.0,18.5,0.05,0.01
INV-82756100002,2025-05-20,4703,WALGREENS #00910 / SIOUX CITY,100 PIERCE ST,SIOUX CITY,51101.0,POINT (-96.40415 42.49093),WOODBURY,1011200.0,STRAIGHT BOURBON WHISKIES,259.0,HEAVEN HILL BRANDS,17956,EVAN WILLIAMS BLACK,12.0,750.0,9.5,14.25,12.0,171.0,9.0,2.37
INV-82725700035,2025-05-20,6223,PRIME MART / WATERLOO,508 BROADWAY STREET,WATERLOO,50703.0,POINT (-92.34509 42.51056),BLACK HAWK,1022200.0,100% AGAVE TEQUILA,260.0,DIAGEO AMERICAS,87484,DON JULIO BLANCO,12.0,375.0,14.99,22.49,12.0,269.88,4.5,1.18
INV-82719000013,2025-05-20,4024,WAL-MART 1546 / IOWA FALLS,840 S OAK,IOWA FALLS,50126.0,POINT (-93.26202 42.50238),HARDIN,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,86888,SOUTHERN COMFORT PET,6.0,1750.0,20.26,30.39,6.0,182.34,10.5,2.77
INV-82717100008,2025-05-20,5660,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,2013 CENTRAL AVE,DUBUQUE,52001.0,POINT (-90.67027 42.51183),DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,76100,MAKERS MARK 46,6.0,1750.0,39.5,59.25,1.0,59.25,1.75,0.46
INV-82717200029,2025-05-20,5660,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,2013 CENTRAL AVE,DUBUQUE,52001.0,POINT (-90.67027 42.51183),DUBUQUE,1031100.0,AMERICAN VODKAS,255.0,INFINIUM SPIRITS,37888,SEAGRAMS EXTRA SMOOTH VODKA,6.0,1750.0,10.0,15.0,6.0,90.0,10.5,2.77
INV-82724900002,2025-05-20,10290,WEST SIDE LIQUOR / WATERLOO,919 WEST 5TH STREET,WATERLOO,50702.0,POINT (-92.34635 42.48855),BLACK HAWK,1031100.0,AMERICAN VODKAS,301.0,FIFTH GENERATION INC,38176,TITOS HANDMADE VODKA,12.0,750.0,10.0,15.0,12.0,180.0,9.0,2.37
INV-82717200012,2025-05-20,5660,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,2013 CENTRAL AVE,DUBUQUE,52001.0,POINT (-90.67027 42.51183),DUBUQUE,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15644,JAMESON,24.0,375.0,9.49,14.24,2.0,28.48,0.75,0.19
INV-82726500054,2025-05-20,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT (-92.47395 42.71212),BREMER,1031100.0,AMERICAN VODKAS,421.0,SAZERAC COMPANY  INC,35318,BARTON VODKA,6.0,1750.0,7.06,10.59,24.0,254.16,42.0,11.09
INV-82724300171,2025-05-20,2544,HY-VEE FOOD STORE (1403) / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158.0,POINT (-92.91219 42.04011),MARSHALL,1022200.0,100% AGAVE TEQUILA,260.0,DIAGEO AMERICAS,87280,CASAMIGOS BLANCO,6.0,750.0,27.49,41.24,1.0,41.24,0.75,0.19
INV-82725000043,2025-05-20,4265,KWIK STOP 3 / WATERLOO,1104 WASHINGTON ST,WATERLOO,50702.0,POINT (-92.33695 42.4891),BLACK HAWK,1022200.0,100% AGAVE TEQUILA,259.0,HEAVEN HILL BRANDS,89468,LUNAZUL REPOSADO,12.0,750.0,14.0,21.0,12.0,252.0,9.0,2.37
INV-82771300009,2025-05-20,4256,FAREWAY STORES #912 / SIOUX CENTER,115  1ST AVE NW,SIOUX CENTER,51250.0,POINT (-96.17691 43.07799),SIOUX,1062400.0,SPICED RUM,259.0,HEAVEN HILL BRANDS,43028,ADMIRAL NELSON SPICED,6.0,1750.0,12.5,18.75,6.0,112.5,10.5,2.77
INV-82716400008,2025-05-20,3488,BENDER'S FOODS,400 S SECOND,BELLEVUE,52031.0,POINT (-90.42334 42.25544),JACKSON,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19112,JIM BEAM DEVILS CUT,12.0,750.0,14.0,21.0,3.0,63.0,2.25,0.59
INV-82717200008,2025-05-20,5660,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,2013 CENTRAL AVE,DUBUQUE,52001.0,POINT (-90.67027 42.51183),DUBUQUE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11294,CROWN ROYAL,24.0,375.0,8.49,12.74,2.0,25.48,0.75,0.19
INV-82764100021,2025-05-20,2578,HY-VEE / CHARLES CITY,901 KELLY ST,CHARLES CITY,50616.0,POINT (-92.67555 43.06699),FLOYD,1031100.0,AMERICAN VODKAS,421.0,SAZERAC COMPANY  INC,34821,SVEDKA 80PRF,6.0,1750.0,11.0,16.5,6.0,120.6,10.5,2.77
INV-82726500061,2025-05-20,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT (-92.47395 42.71212),BREMER,1031100.0,AMERICAN VODKAS,421.0,SAZERAC COMPANY  INC,37418,POPOV 80PRF,6.0,1750.0,8.5,12.75,6.0,76.5,10.5,2.77
INV-82725900006,2025-05-20,5599,KWIK STOP 4,515 BROADWAY ST,WATERLOO,50703.0,POINT (-92.34509 42.51081),BLACK HAWK,1011400.0,TENNESSEE WHISKIES,85.0,BROWN FORMAN CORP.,26824,JACK DANIELS OLD #7 BLACK LABEL SQUARE,24.0,375.0,8.25,12.38,24.0,297.12,9.0,2.37
INV-82725000032,2025-05-20,4265,KWIK STOP 3 / WATERLOO,1104 WASHINGTON ST,WATERLOO,50702.0,POINT (-92.33695 42.4891),BLACK HAWK,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,64870,FIREBALL CINNAMON WHISKEY,48.0,100.0,1.0,1.5,48.0,72.0,4.8,1.26
