Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-82725900004,2025-05-20,5599,KWIK STOP 4,515 BROADWAY ST,WATERLOO,50703,POINT (-92.34509 42.51081),BLACK HAWK,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23826,FIVE STAR,12.0,750.0,4.13,6.2,12.0,74.4,9.0,2.37
INV-82718800005,2025-05-20,10448,CASEY'S #4334 / EPWORTH,101 HORSFIELD INDUSTRIAL WAY,EPWORTH,52045,,DUBUQUE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24.0,375.0,3.25,4.88,48.0,234.24,18.0,4.75
INV-82725900016,2025-05-20,5599,KWIK STOP 4,515 BROADWAY ST,WATERLOO,50703,POINT (-92.34509 42.51081),BLACK HAWK,1031100.0,AMERICAN VODKAS,301,FIFTH GENERATION INC,38179,TITOS HANDMADE VODKA,24.0,200.0,3.49,5.24,48.0,251.52,9.6,2.53
INV-82725700051,2025-05-20,6223,PRIME MART / WATERLOO,508 BROADWAY STREET,WATERLOO,50703,POINT (-92.34509 42.51056),BLACK HAWK,1022100.0,MIXTO TEQUILA,395,PROXIMO,89196,JOSE CUERVO ESPECIAL REPOSADO,12.0,750.0,12.0,18.0,12.0,216.0,9.0,2.37
INV-82724900010,2025-05-20,10290,WEST SIDE LIQUOR / WATERLOO,919 WEST 5TH STREET,WATERLOO,50702,POINT (-92.34635 42.48855),BLACK HAWK,1022200.0,100% AGAVE TEQUILA,395,PROXIMO,87509,1800 SILVER,12.0,375.0,9.25,13.88,12.0,166.56,4.5,1.18
INV-82718500011,2025-05-20,5624,CASEY'S GENERAL STORE #1065 / ASBURY,5505 ASBURY RD,DUBUQUE,52002,POINT (-90.75858 42.51046),DUBUQUE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6.0,1750.0,7.5,11.25,6.0,67.5,10.5,2.77
INV-82716700003,2025-05-20,10277,C&D CAR WASH LLC / BELLEVUE,800 STATE STREET,BELLEVUE,52031,POINT (-90.43248 42.25653),JACKSON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10808,CROWN ROYAL REGAL APPLE,12.0,1000.0,20.49,30.74,12.0,368.88,12.0,3.17
INV-82717900040,2025-05-20,5886,BEECHER LIQUOR / DUBUQUE,1691 ASBURY RD,DUBUQUE,52001,POINT (-90.69693 42.50083),DUBUQUE,1071000.0,COCKTAILS/RTD,395,PROXIMO,59219,1800 ULTIMATE WILD BERRY MARGARITA,6.0,1750.0,10.04,15.06,1.0,15.06,1.75,0.46
INV-82717600016,2025-05-20,10386,DOWNTOWN GAS AND GROCERY / DUBUQUE,1401 CENTRAL AVENUE,DUBUQUE,52001,POINT (-90.66781 42.50649),DUBUQUE,1031100.0,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6.0,1750.0,19.0,28.5,6.0,171.0,10.5,2.77
INV-82736700007,2025-05-20,5511,THE DEPOT NORTH LIBERTY,1290 S DUBUQUE ST,NORTH LIBERTY,52317,POINT (-91.58839 41.74116),JOHNSON,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12.0,750.0,17.49,26.24,3.0,78.72,2.25,0.59
INV-82724300170,2025-05-20,2544,HY-VEE FOOD STORE (1403) / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.91219 42.04011),MARSHALL,1022200.0,100% AGAVE TEQUILA,260,DIAGEO AMERICAS,87143,ASTRAL REPOSADO,6.0,750.0,12.48,18.72,2.0,37.44,1.5,0.39
INV-82721600007,2025-05-20,5620,CASEY'S GENERAL STORE #2874 / RICEVILLE,208 W MAIN ST,RICEVILLE,50466,POINT (-92.55642 43.36381),HOWARD,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24.0,375.0,6.1,9.15,24.0,219.6,9.0,2.37
INV-82726100006,2025-05-20,4902,BROADWAY LIQUOR,821 BROADWAY ST,WATERLOO,50703,POINT (-92.34514 42.51372),BLACK HAWK,1031100.0,AMERICAN VODKAS,205,E & J GALLO WINERY,36967,NEW AMSTERDAM 80PRF,24.0,200.0,1.99,2.99,24.0,71.76,4.8,1.26
INV-82720500005,2025-05-20,5670,JONESY'S STOP N SHOP,104 N 1ST ST,ROCKWELL,50469,POINT (-93.19198 42.98552),CERRO GORDO,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11777,BLACK VELVET,12.0,1000.0,7.0,10.5,12.0,126.0,12.0,3.17
INV-82720000011,2025-05-20,2716,HY-VEE HAMPTON DOLLAR FRESH,808 4TH ST SE,HAMPTON,50441,POINT (-93.20137 42.73399),FRANKLIN,1031100.0,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36904,MCCORMICK 80PRF VODKA PET,24.0,375.0,1.84,2.76,24.0,66.24,9.0,2.37
INV-82718500010,2025-05-20,5624,CASEY'S GENERAL STORE #1065 / ASBURY,5505 ASBURY RD,DUBUQUE,52002,POINT (-90.75858 42.51046),DUBUQUE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12.0,750.0,3.5,5.25,12.0,63.0,9.0,2.37
INV-82718800012,2025-05-20,10448,CASEY'S #4334 / EPWORTH,101 HORSFIELD INDUSTRIAL WAY,EPWORTH,52045,,DUBUQUE,1031100.0,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6.0,1750.0,19.0,28.5,12.0,342.0,21.0,5.54
INV-82715900017,2025-05-20,6178,HY-VEE DOLLAR FRESH / MAQUOKETA,102 W. CARLISLE,MAQUOKETA,52060,POINT (-90.66641 42.05045),JACKSON,1031100.0,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,38088,PLATINUM 7X VODKA,6.0,1750.0,9.44,14.16,6.0,84.96,10.5,2.77
INV-82734100014,2025-05-20,10183,CROWN LIQUOR & SMOKE / IOWA CITY,19 HIGHWAY 1 WEST ROOSEVELT,IOWA CITY,52246,POINT (-91.54127 41.64652),JOHNSON,1022200.0,100% AGAVE TEQUILA,35,BACARDI USA INC,89624,PATRON REPOSADO,12.0,375.0,16.5,24.75,12.0,297.0,4.5,1.18
INV-82725200030,2025-05-20,4759,WALGREENS #10855 / WATERLOO,1850 LOGAN AVE,WATERLOO,50703,POINT (-92.33758 42.52712),BLACK HAWK,1022200.0,100% AGAVE TEQUILA,260,DIAGEO AMERICAS,87280,CASAMIGOS BLANCO,6.0,750.0,27.49,41.24,6.0,247.44,4.5,1.18
INV-82717200054,2025-05-20,5660,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,2013 CENTRAL AVE,DUBUQUE,52001,POINT (-90.67027 42.51183),DUBUQUE,1071000.0,COCKTAILS/RTD,421,SAZERAC COMPANY  INC,57210,BUZZBALLZ BIGGIES TEQUILA RITA,3.0,1750.0,10.0,15.0,3.0,45.0,5.25,1.38
INV-82743400010,2025-05-20,4848,KUM & GO #246 / WINTERSET,111 E JEFFERSON ST,WINTERSET,50273,POINT (-94.01274 41.33598),MADISON,1011200.0,STRAIGHT BOURBON WHISKIES,421,SAZERAC COMPANY  INC,21462,BENCHMARK FULL PROOF,12.0,750.0,11.5,17.25,12.0,207.0,9.0,2.37
INV-82721900039,2025-05-20,4999,CASEY'S GENERAL STORE #2680 / CLARKS,213 S MAIN ST,CLARKSVILLE,50619,POINT (-92.6678 42.78334),BUTLER,1022100.0,MIXTO TEQUILA,395,PROXIMO,89196,JOSE CUERVO ESPECIAL REPOSADO,12.0,750.0,12.0,18.0,6.0,108.0,4.5,1.18
INV-82721900021,2025-05-20,4999,CASEY'S GENERAL STORE #2680 / CLARKS,213 S MAIN ST,CLARKSVILLE,50619,POINT (-92.6678 42.78334),BUTLER,1031100.0,AMERICAN VODKAS,777,"BLUE OX SPIRITS, INC.",36985,BLUE OX VODKA,24.0,375.0,2.0,3.0,24.0,72.0,9.0,2.37
INV-82725000021,2025-05-20,4265,KWIK STOP 3 / WATERLOO,1104 WASHINGTON ST,WATERLOO,50702,POINT (-92.33695 42.4891),BLACK HAWK,1052100.0,IMPORTED BRANDIES,619,CAMPARI AMERICA,47790,COURVOISIER VS COGNAC,24.0,200.0,5.0,7.5,24.0,180.0,4.8,1.26
INV-82716400012,2025-05-20,3488,BENDER'S FOODS,400 S SECOND,BELLEVUE,52031,POINT (-90.42334 42.25544),JACKSON,1031100.0,AMERICAN VODKAS,297,LAIRD & COMPANY,35917,FIVE O'CLOCK VODKA,12.0,1000.0,4.66,6.99,12.0,83.88,12.0,3.17
INV-82757800016,2025-05-20,4568,SELECT MART / SIOUX CITY,4103 FLOYD BLVD,SIOUX CITY,51108,POINT (-96.35847 42.54203),WOODBURY,1071000.0,COCKTAILS/RTD,421,SAZERAC COMPANY  INC,57210,BUZZBALLZ BIGGIES TEQUILA RITA,3.0,1750.0,10.0,15.0,3.0,45.0,5.25,1.38
INV-82725000027,2025-05-20,4265,KWIK STOP 3 / WATERLOO,1104 WASHINGTON ST,WATERLOO,50702,POINT (-92.33695 42.4891),BLACK HAWK,1051100.0,AMERICAN BRANDIES,205,E & J GALLO WINERY,52594,E & J VS,24.0,375.0,3.22,4.83,48.0,231.84,18.0,4.75
INV-82715900030,2025-05-20,6178,HY-VEE DOLLAR FRESH / MAQUOKETA,102 W. CARLISLE,MAQUOKETA,52060,POINT (-90.66641 42.05045),JACKSON,1082100.0,IMPORTED CORDIALS & LIQUEURS,368,PARK STREET IMPORTS,65426,LICOR 43,12.0,750.0,14.49,21.74,12.0,242.88,9.0,2.37
INV-82716000021,2025-05-20,3934,WAL-MART 1509 / MAQUOKETA,103 E CARLISLE,MAQUOKETA,52060,POINT (-90.66292 42.04869),JACKSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,86888,SOUTHERN COMFORT PET,6.0,1750.0,20.26,30.39,6.0,182.34,10.5,2.77
INV-82724100001,2025-05-20,6266,KWIK STAR #607 / MARSHALLTOWN,814 SOUTH 6TH STREET,MARSHALLTOWN,50158,POINT (-92.92069 42.03834),MARSHALL,1012100.0,CANADIAN WHISKIES,65,JIM BEAM BRANDS,10626,CANADIAN CLUB WHISKY,12.0,750.0,8.0,12.0,12.0,144.0,9.0,2.37
INV-82722700008,2025-05-20,2628,HY-VEE FOOD STORE / ELDORA,1616 EDGINGTON AVE,ELDORA,50627,POINT (-93.10375 42.3609),HARDIN,1031100.0,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,37938,SKOL VODKA,6.0,1750.0,7.12,10.68,6.0,64.08,10.5,2.77
INV-82724300006,2025-05-20,2544,HY-VEE FOOD STORE (1403) / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.91219 42.04011),MARSHALL,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10790,CROWN ROYAL VANILLA,24.0,375.0,8.49,12.74,3.0,38.22,1.12,0.29
INV-82719900003,2025-05-20,4172,SHAMROCK SPIRITS,1204 WATER ST PO BOX 177,ALDEN,50006,POINT (-93.37642 42.52046),HARDIN,1062400.0,SPICED RUM,260,DIAGEO AMERICAS,1799,CAPTAIN MORGAN ORIGINAL SPICED BARREL,6.0,1750.0,18.49,27.74,6.0,166.44,10.5,2.77
INV-82723100024,2025-05-20,2552,HY-VEE FOOD STORE #3 (1056) / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,POINT (-91.65732 41.95585),LINN,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23823,FIVE STAR,48.0,200.0,1.31,1.97,4.0,7.88,0.8,0.21
INV-82724800007,2025-05-20,5117,FOOD & GAS MART  /  MARSHALLTOWN,"613, N 3RD AVE",MARSHALLTOWN,50158,POINT (-92.90809 42.05766),MARSHALL,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6.0,1750.0,7.5,11.25,6.0,67.5,10.5,2.77
INV-82725700013,2025-05-20,6223,PRIME MART / WATERLOO,508 BROADWAY STREET,WATERLOO,50703,POINT (-92.34509 42.51056),BLACK HAWK,1031100.0,AMERICAN VODKAS,301,FIFTH GENERATION INC,38174,TITOS HANDMADE VODKA,12.0,375.0,5.42,8.13,24.0,195.12,9.0,2.37
INV-82724100006,2025-05-20,6266,KWIK STAR #607 / MARSHALLTOWN,814 SOUTH 6TH STREET,MARSHALLTOWN,50158,POINT (-92.92069 42.03834),MARSHALL,1031100.0,AMERICAN VODKAS,205,E & J GALLO WINERY,36965,NEW AMSTERDAM 80PRF MINI,12.0,50.0,4.61,6.92,4.0,27.68,0.2,0.05
