fdic_certificate_number,institution_name,state_name,fdic_id,docket,active,address,total_assets,bank_charter_class,change_code_1,change_code_2,change_code_3,change_code_4,change_code_5,change_code_6,change_code_7,change_code_8,change_code_9,change_code_10,change_code_11,change_code_12,change_code_13,change_code_14,change_code_15,occ_charter,chartering_agency,conservatorship,city,category_code,county_fips_code,county_name,established_date,last_updated,effective_date,end_effective_date,denovo_institute,total_deposits,equity_capital,fdic_geo_region,fdic_supervisory_region,fdic_supervisory_region_code,fed_reserve_district,fed_reserve_district_id,fed_reserve_unique_id,federal_charter,fdic_field_office,iba,inactive_flag,insurance_fund_membership,secondary_insurance_fund,deposit_insurance_date,credit_card_institution,bank_insurance_fund_member,insured_commercial_bank,deposit_insurance_fund_member,fdic_insured,saif_insured,insured_savings_institute,new_cert_number,oakar_institute,ots_region,last_structural_change,qbp_region,regulator,report_date,reporting_period_end_date,state_chartered,return_on_assets,roa_quarterly,roa_pretax,row_pretax_quarterly,return_on_equity,roe_quarterly,run_date,sasser_institute,law_sasser,state,state_fips_code,trade_name_1,trade_name_2,trade_name_3,trade_name_4,trade_name_5,trade_name_6,zip_code,occ_district,ultimate_cert_number,cfpb_supervisory_flag,cfpb_supervisory_start_date,cfpb_supervisory_end_date,offices_count,parent_fdic_cert,parent_parcert,high_holder_city,total_domestic_deposits,ffiec_call_report_filer,holding_company_flag,ag_lending_flag,ownership_type,top_holder,net_income,quarterly_net_income,office_count_domestic,office_count_foreign,office_count_us_territories,rssd_id,holding_company_state,subchap_s_indicator,trust_powers_status,asset_concentration_hierarchy,primary_specialization,csa_name,csa_fips_code,csa_indicator,cbsa_name,cbsa_fips_code,cbsa_metro_flag,cbsa_micro_flag,cbsa_division_name,cbsa_division_fips_code,cbsa_division_flag
9298,Farmers & Merchants Savings Bank,Iowa,5953,10283,True,101 E Main St,603249.0,SM,,,,,,,,,,,,,,,,0,STATE,False,Manchester,13,19055,Delaware,1925-07-20,2022-08-31,2022-08-31,,False,530247.0,69901.0,11,Kansas City,11,Kansas City,7,863746,False,Cedar Rapids,False,False,DIF,,1934-01-01,False,False,True,True,True,False,False,0,False,Western,2022-08-31,4,FED,2022-06-30,2022-06-30,True,1.1111117329347189,1.13,1.1567784587368108,1.18,9.02,9.55,2022-10-14,False,False,IA,19,,,,,,,52057,4,9298,False,,,7.0,,0.0,MANCHESTER,530247.0,False,,False,False,DUNN INVESTMENT CO,3309.0,1690.0,7.0,0.0,0.0,2558484.0,IA,True,1.0,4.0,Commercial Lending Specialization,,,,,,,,,,
14521,Bank Iowa,Iowa,9074,13639,True,1225 Jordan Creek Pkwy,1786376.0,SM,,,,,,,,,,,,,,,,0,STATE,False,West Des Moines,13,19049,Dallas,1923-03-07,2022-08-31,2022-08-31,,False,1593052.0,122264.0,11,Kansas City,11,Kansas City,7,187947,False,Des Moines,False,False,DIF,,1934-06-28,False,False,True,True,True,False,False,0,False,Western,2022-08-31,4,FED,2022-06-30,2022-06-30,True,1.3578392301020914,1.46,1.427983425352455,1.53,16.92,19.98,2022-10-14,False,False,IA,19,,,,,,,50266,4,14521,False,,,25.0,,0.0,WEST DES MOINES,1593052.0,False,,True,False,BANK IOWA CORP,12118.0,6552.0,25.0,0.0,0.0,1202762.0,IA,True,1.0,2.0,Agricultural Specialization,"Des Moines-Ames-West Des Moines, IA",218.0,True,"Des Moines-West Des Moines, IA",19780.0,True,False,,,False
1027,Farmers Bank and Trust Company,Arkansas,683,16010,True,400 W Main St,326286.0,SM,,,,,,,,,,,,,,,,0,STATE,False,Blytheville,13,5093,Mississippi,1908-03-16,2022-08-31,2022-08-31,,False,293875.0,31498.0,13,Dallas,13,Dallas,8,33147,False,Little Rock,False,False,DIF,,1934-01-01,False,False,True,True,True,False,False,0,False,Western,2022-08-31,5,FED,2022-06-30,2022-06-30,True,1.9260937950613275,2.19,1.9260937950613275,2.19,20.16,23.37,2022-10-14,False,False,AR,5,,,,,,,72315,5,1027,False,,,6.0,,0.0,BLYTHEVILLE,293875.0,False,,True,False,FARMERS BCORP INC,3139.0,1806.0,6.0,0.0,0.0,1247615.0,AR,True,1.0,2.0,Agricultural Specialization,,,False,"Blytheville, AR",14180.0,False,True,,,False
35151,New Millennium Bank,New Jersey,75147,0,True,222 Bridge Plz S,623099.0,NM,,,,,,,,,,,,,,,,0,STATE,False,Fort Lee,21,34003,Bergen,1999-07-19,2022-08-31,2022-08-31,,False,559094.0,56124.0,2,New York,2,New York,2,2833882,False,Jamesburg,False,False,DIF,,1999-07-19,False,False,True,True,True,False,False,0,False,Northeast,2022-08-31,1,FDIC,2022-06-30,2022-06-30,True,1.043134001176372,1.06,1.4920733602735476,1.5,11.24,11.54,2022-10-14,False,False,NJ,34,,,,,,,7024,1,35151,False,,,8.0,,0.0,FORT LEE,559094.0,False,,False,False,NMB FINANCIAL CORP,3009.0,1576.0,9.0,0.0,0.0,5011832.0,NJ,False,0.0,4.0,Commercial Lending Specialization,"New York-Newark, NY-NJ-CT-PA",408.0,True,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,True,False,"New York-Jersey City-White Plains, NY-NJ",35614.0,True
58410,Cross River Bank,New Jersey,451130,0,True,885 Teaneck Rd,8553880.0,NM,,,,,,,,,,,,,,,,0,STATE,False,Teaneck,21,34003,Bergen,2008-06-23,2022-08-31,2022-08-31,,False,4627093.0,815380.0,2,New York,2,New York,2,3783313,False,Jamesburg,False,False,DIF,,2008-06-23,False,False,True,True,True,False,False,0,False,Northeast,2022-08-31,1,FDIC,2022-06-30,2022-06-30,True,2.170137929245129,1.58,2.9617279340845535,2.11,24.77,17.18,2022-10-14,False,False,NJ,34,,,,,,,7666,1,58410,False,,,2.0,,0.0,FORT LEE,4627093.0,True,,False,False,CRB GROUP INC,96188.0,34351.0,2.0,0.0,0.0,4389329.0,NJ,False,0.0,4.0,Commercial Lending Specialization,"New York-Newark, NY-NJ-CT-PA",408.0,True,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,True,False,"New York-Jersey City-White Plains, NY-NJ",35614.0,True
58712,Freedom Bank,New Jersey,463480,0,True,99 W Essex St,654248.0,NM,,,,,,,,,,,,,,,,0,STATE,False,Maywood,21,34003,Bergen,2008-04-17,2022-08-31,2022-08-31,,False,557294.0,64727.0,2,New York,2,New York,2,3729124,False,Jamesburg,False,False,DIF,,2008-04-17,False,False,True,True,True,False,False,0,False,Northeast,2022-08-31,1,FDIC,2022-06-30,2022-06-30,True,1.4920942939760882,1.6,1.9628620123963512,2.04,14.95,15.98,2022-10-14,False,False,NJ,34,,,,,,,7607,1,58712,False,,,5.0,,0.0,MAYWOOD,557294.0,False,,False,False,FREEDOM BCORP INC,4675.0,2542.0,5.0,0.0,0.0,5010844.0,NJ,False,0.0,4.0,Commercial Lending Specialization,"New York-Newark, NY-NJ-CT-PA",408.0,True,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,True,False,"New York-Jersey City-White Plains, NY-NJ",35614.0,True
35031,Freedom Financial Bank,Iowa,73855,0,True,1255 Jordan Creek Pkwy,237993.0,SM,,,,,,,,,,,,,,,,0,STATE,False,West Des Moines,13,19049,Dallas,1999-02-22,2022-08-31,2022-08-31,,False,181748.0,20500.0,11,Kansas City,11,Kansas City,7,2735137,False,Des Moines,False,False,DIF,,1999-02-22,False,False,True,True,True,False,False,0,False,Western,2022-08-31,4,FED,2022-06-30,2022-06-30,True,0.9170430702567806,0.96,0.956357125458842,1.01,10.45,10.97,2022-10-14,False,False,IA,19,,,,,,,50266,4,35031,False,,,2.0,,0.0,WEST DES MOINES,181748.0,False,,False,False,FREEDOM HOLDINGS CO,1073.0,566.0,2.0,0.0,0.0,2734439.0,IA,True,0.0,4.0,Commercial Lending Specialization,"Des Moines-Ames-West Des Moines, IA",218.0,True,"Des Moines-West Des Moines, IA",19780.0,True,False,,,False
19716,First Central State Bank,Iowa,13512,9647,True,914 6th Ave,707346.0,NM,,,,,,,,,,,,,,,,0,STATE,False,Dewitt,21,19045,Clinton,1967-06-12,2022-08-31,2022-08-31,,False,564464.0,66232.0,11,Kansas City,11,Kansas City,7,639549,False,Cedar Rapids,False,False,DIF,,1967-06-12,False,False,True,True,True,False,False,0,False,Western,2022-08-31,4,FDIC,2022-06-30,2022-06-30,True,1.0250362760272935,1.12,1.2961640951562785,1.42,10.21,11.63,2022-10-14,False,False,IA,19,,,,,,,52742,4,19716,False,,,6.0,,0.0,MAQUOKETA,564464.0,False,True,False,False,OHNWARD BANCSHARES INC,3671.0,1988.0,6.0,0.0,0.0,1200311.0,IA,False,1.0,4.0,Commercial Lending Specialization,"Davenport-Moline, IA-IL",209.0,True,"Clinton, IA",17540.0,False,True,,,False
14251,Fidelity Bank,Iowa,8900,11001,True,177 S Jordan Creek Pkwy,74096.0,NM,,,,,,,,,,,,,,,,0,STATE,False,West Des Moines,21,19049,Dallas,1927-01-01,2022-08-31,2022-08-31,,False,53739.0,10341.0,11,Kansas City,9,Chicago,7,193247,False,Des Moines,False,False,DIF,,1934-04-18,False,False,True,True,True,False,False,0,False,Western,2022-08-31,4,FDIC,2022-06-30,2022-06-30,True,-0.7209299185916215,-0.33,-0.766831823520676,-0.33,-4.98,-2.35,2022-10-14,False,False,IA,19,,,,,,,50266,4,14251,False,,,3.0,,0.0,WEST DES MOINES,53739.0,False,,False,False,MAXIMUM BANCSHARES INC,-267.0,-61.0,3.0,0.0,0.0,3231382.0,IA,True,1.0,4.0,Commercial Lending Specialization,"Des Moines-Ames-West Des Moines, IA",218.0,True,"Des Moines-West Des Moines, IA",19780.0,True,False,,,False
4769,The First National Bank of Scott City,Kansas,3183,15726,True,501 S Main St,150605.0,N,,,,,,,,,,,,,,,,8808,OCC,False,Scott City,3,20171,Scott,1902-01-01,2022-08-31,2022-08-31,,False,134357.0,14053.0,11,Kansas City,11,Kansas City,10,414652,True,Hays,False,False,DIF,,1934-01-01,False,False,True,True,True,False,False,0,False,Western,2022-08-31,4,OCC,2022-06-30,2022-06-30,False,0.8900417048113111,1.08,1.1163665954633302,1.35,9.17,11.51,2022-10-14,False,False,KS,20,,,,,,,67871,4,4769,False,,,1.0,,0.0,SCOTT CITY,134357.0,False,,True,False,HOEME FAMILY PARTNERSHIP,700.0,417.0,1.0,0.0,0.0,2260095.0,KS,False,1.0,2.0,Agricultural Specialization,,,,,,,,,,
14646,Newfield National Bank,New Jersey,9160,0,True,18 S West Blvd,915035.0,N,,,,,,,,,,,,,,,,14240,OCC,False,Newfield,3,34015,Gloucester,1934-01-01,2022-08-31,2022-08-31,,False,863934.0,39377.0,2,New York,2,New York,3,632410,True,Jamesburg,False,False,DIF,,1934-07-31,False,False,True,True,True,False,False,0,False,Northeast,2022-08-31,1,OCC,2022-06-30,2022-06-30,False,0.6063351346658234,0.68,0.6955774185708635,0.79,10.31,13.5,2022-10-14,False,False,NJ,34,,,,,,,8344,1,14646,False,,,11.0,,0.0,NEWFIELD,863934.0,False,,False,False,NEWFIELD BCORP INC,2840.0,1565.0,11.0,0.0,0.0,1830361.0,NJ,False,0.0,4.0,Commercial Lending Specialization,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428.0,True,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980.0,True,False,"Camden, NJ",15804.0,True
